client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent
5,296,296,1766560372712,1766560372713,14,1.34,0,22.1
5,297,297,1766560372763,1766560372764,13,1.3,0,17.1
5,298,298,1766560372815,1766560372815,11,1.27,0,12.0
5,299,299,1766560372866,1766560372866,9,1.25,0,34.6
5,300,300,1766560372917,1766560372917,8,1.22,0,14.0
5,301,301,1766560372968,1766560372968,7,1.2,0,19.7
5,302,302,1766560373020,1766560373020,5,1.28,0,17.4
5,303,303,1766560373070,1766560373071,5,1.25,0,34.9
5,304,304,1766560373122,1766560373122,4,1.23,0,10.8
5,305,305,1766560373172,1766560373173,3,1.2,0,2.0
5,306,306,1766560373223,1766560373223,1,1.08,0,15.4
5,307,307,1766560373274,1766560373274,1,1.07,0,4.3
5,308,308,1766560373325,1766560373325,16,1.07,0,8.9
5,309,309,1766560373376,1766560373376,16,1.06,0,7.5
5,310,310,1766560373428,1766560373428,14,1.15,0,15.5
5,311,311,1766560373479,1766560373480,14,1.24,0,15.8
5,312,312,1766560373530,1766560373530,13,1.12,0,34.1
5,313,313,1766560373581,1766560373581,12,1.1,0,13.3
5,314,314,1766560373632,1766560373632,11,1.09,0,10.5
5,315,315,1766560373683,1766560373683,8,1.08,0,13.9
5,316,316,1766560373734,1766560373734,7,1.08,0,27.8
5,317,317,1766560373785,1766560373785,7,1.07,0,8.9
5,318,318,1766560373836,1766560373836,7,1.06,0,11.5
5,319,319,1766560373887,1766560373887,6,1.06,0,4.2
5,320,320,1766560373939,1766560373939,3,1.15,0,20.0
5,321,321,1766560373989,1766560373989,3,1.03,0,31.0
5,322,322,1766560374040,1766560374040,3,1.03,0,8.3
5,323,323,1766560374091,1766560374091,2,1.03,0,30.2
5,324,324,1766560374142,1766560374142,1,1.03,0,27.7
5,325,325,1766560374193,1766560374193,1,1.02,0,21.1
5,326,326,1766560374243,1766560374243,4,0.92,0,8.5
5,327,327,1766560374294,1766560374294,3,0.93,0,14.6
